rr_multiple,adx_threshold,trend_filter_mode,total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars
3.0,25.0,bbmid_ema50,1506,0.2689243027888446,1.1034341285048912,0.07562558608851211,0.07562558608851211,-1.0,113.89213264929924,-49.0,16,18.59628154050465
3.0,25.0,bbma_basic,1449,0.2663906142167012,1.0892885490139301,0.06550779800963837,0.06550779800963837,-1.0,94.920799315966,-46.0,14,17.6632160110421
3.0,25.0,bbma_strict,1449,0.2663906142167012,1.0892885490139301,0.06550779800963837,0.06550779800963837,-1.0,94.920799315966,-46.0,14,17.6632160110421
3.0,25.0,none,1872,0.266025641025641,1.0872508887387804,0.0640449426545401,0.0640449426545401,-1.0,119.89213264929907,-65.0,19,17.870726495726494
3.0,25.0,bbma_strict_expand,1436,0.266016713091922,1.0872048317207235,0.06401169868799861,0.06401169868799861,-1.0,91.920799315966,-45.0,14,17.74025069637883
3.0,25.0,ema50,1871,0.2656333511491181,1.0850676540224375,0.062475752351308964,0.062475752351308964,-1.0,116.89213264929907,-65.0,19,17.879208979155532
4.0,25.0,bbma_strict_expand,1383,0.20896601590744757,1.056596267689992,0.04477281223135659,0.04477281223135659,-1.0,61.920799315966164,-61.0,23,25.032537960954446
4.0,25.0,bbmid_ema50,1446,0.2095435684647303,1.0544744366123056,0.04330031128879818,0.04330031128879818,-1.0,62.612250123602166,-79.27988252569708,23,25.76625172890733
4.0,25.0,bbma_basic,1396,0.20845272206303725,1.0533181687606596,0.04220687630083536,0.04220687630083536,-1.0,58.920799315966164,-62.0,23,24.903295128939828
4.0,25.0,bbma_strict,1396,0.20845272206303725,1.0533181687606596,0.04220687630083536,0.04220687630083536,-1.0,58.920799315966164,-62.0,23,24.903295128939828
2.0,25.0,none,1941,0.34363730036063883,1.047007113121305,0.030856328000669356,0.030856328000669356,-1.0,59.89213264929922,-51.0,13,11.880989180834622
2.0,25.0,ema50,1940,0.34329896907216495,1.0454373873145264,0.029841305489329496,0.029841305489329496,-1.0,57.89213264929922,-51.0,13,11.886082474226804
2.0,25.0,bbmid_ema50,1552,0.34213917525773196,1.0400468294847196,0.02634802361423919,0.02634802361423919,-1.0,40.89213264929922,-42.00000000000002,12,12.177835051546392
4.0,25.0,none,1792,0.20591517857142858,1.0326099409538334,0.026011300292188646,0.026011300292188646,-1.0,46.61225012360205,-88.27988252569708,25,24.531808035714285
4.0,25.0,ema50,1791,0.2054718034617532,1.0298115400298393,0.023792434463206058,0.023792434463206058,-1.0,42.61225012360205,-88.27988252569708,25,24.54438860971524
2.0,25.0,bbma_basic,1487,0.3389374579690652,1.0253497371306663,0.016759111846648266,0.016759111846648266,-1.0,24.92079931596597,-38.06320068403402,13,11.564223268325488
2.0,25.0,bbma_strict,1487,0.3389374579690652,1.0253497371306663,0.016759111846648266,0.016759111846648266,-1.0,24.92079931596597,-38.06320068403402,13,11.564223268325488
2.0,25.0,bbma_strict_expand,1473,0.33876442634080106,1.0245573453361574,0.016239510737247772,0.016239510737247772,-1.0,23.92079931596597,-36.0,13,11.629327902240325
3.0,,none,3478,0.25388154111558364,1.0170101994172687,0.012739033429204528,0.012739033429204528,-1.0,44.30635826677335,-104.4314001663062,25,15.9401955146636
3.0,,bbma_strict_expand,2175,0.2542528735632184,1.0168284883237355,0.012623637800771156,0.012623637800771156,-1.0,27.456412216677265,-67.0,19,16.001379310344827
3.0,,ema50,3466,0.2536064627813041,1.0155221846809277,0.011629070475122145,0.011629070475122145,-1.0,40.30635826677335,-105.4314001663062,25,15.9399884593191
3.0,20.0,bbma_strict_expand,1879,0.2527940393826503,1.0145264495119066,0.01085885888466414,0.01085885888466414,-1.0,20.40379584428392,-73.0,18,16.301756253326236
3.0,,bbma_basic,2195,0.25375854214123006,1.0142372028215876,0.010686292581629734,0.010686292581629734,-1.0,23.456412216677265,-67.0,19,15.92255125284738
3.0,,bbma_strict,2195,0.25375854214123006,1.0142372028215876,0.010686292581629734,0.010686292581629734,-1.0,23.456412216677265,-67.0,19,15.92255125284738
3.0,20.0,bbma_basic,1897,0.25250395361096467,1.0129732448108704,0.009701526538895056,0.009701526538895056,-1.0,18.40379584428392,-75.0,18,16.225619399051133
3.0,20.0,bbma_strict,1897,0.25250395361096467,1.0129732448108704,0.009701526538895056,0.009701526538895056,-1.0,18.40379584428392,-75.0,18,16.225619399051133
3.0,20.0,none,2681,0.2517717269675494,1.0090961883300642,0.006808557215359937,0.006808557215359937,-1.0,18.253741894379992,-97.0,22,16.44684819097352
3.0,20.0,ema50,2678,0.25168035847647496,1.0086064467383937,0.0064427714318073155,0.0064427714318073155,-1.0,17.253741894379992,-97.0,22,16.462658700522777
3.0,20.0,bbmid_ema50,2010,0.2512437810945274,1.0061456183899287,0.004603851688746346,0.004603851688746346,-1.0,9.253741894380155,-99.0,20,17.02189054726368
3.0,,bbmid_ema50,2398,0.2510425354462052,1.000169662372228,0.00012775574093974317,0.00012775574093974317,-1.0,0.3063582667735041,-85.0,22,16.936613844870724
4.0,20.0,bbma_strict_expand,1810,0.1994475138121547,0.9963145728844551,-0.0029510730668257123,-0.0029510730668257123,-1.0,-5.34144225095454,-100.0,26,22.655801104972376
4.0,,bbma_strict_expand,2094,0.20057306590257878,0.9950148550822608,-0.004019581396247436,-0.004019581396247436,-1.0,-8.417003443742132,-95.0,32,21.13085004775549
4.0,,bbma_basic,2114,0.2000946073793756,0.992132713924718,-0.006346737674428633,-0.006346737674428633,-1.0,-13.417003443742129,-96.0,32,21.000946073793756
4.0,,bbma_strict,2114,0.2000946073793756,0.992132713924718,-0.006346737674428633,-0.006346737674428633,-1.0,-13.417003443742129,-96.0,32,21.000946073793756
4.0,20.0,bbma_basic,1828,0.1985776805251641,0.9908953354718063,-0.007298381975358063,-0.007298381975358063,-1.0,-13.34144225095454,-102.0,26,22.528446389496718
4.0,20.0,bbma_strict,1828,0.1985776805251641,0.9908953354718063,-0.007298381975358063,-0.007298381975358063,-1.0,-13.34144225095454,-102.0,26,22.528446389496718
2.0,,none,3669,0.3289724720632325,0.9767618878021693,-0.015653148042056864,-0.015653148042056864,-1.0,-57.43140016630664,-124.43140016630662,17,10.380485145816298
2.0,,ema50,3656,0.3287746170678337,0.9758745463087406,-0.01625585343717359,-0.01625585343717359,-1.0,-59.43140016630664,-122.43140016630662,17,10.37855579868709
4.0,,none,3294,0.19702489374620522,0.9737993435131512,-0.021204292628823083,-0.021204292628823083,-1.0,-69.84693991934324,-142.11726326154417,27,21.244990892531877
4.0,20.0,none,2558,0.1962470680218921,0.9734476737017902,-0.021411797782078055,-0.021411797782078055,-1.0,-54.77137872655566,-141.27988252569708,25,22.467161845191555
4.0,20.0,ema50,2555,0.19608610567514678,0.9724513940204094,-0.022219717701195952,-0.022219717701195952,-1.0,-56.77137872655566,-141.27988252569708,25,22.490802348336594
4.0,,ema50,3283,0.19677124581175753,0.9722155031539985,-0.022493737410704612,-0.022493737410704612,-1.0,-73.84693991934324,-138.11726326154417,27,21.254035942735303
2.0,20.0,ema50,2783,0.3266259432267337,0.9698668988157073,-0.020296089306036706,-0.020296089306036706,-1.0,-56.48401653870015,-97.00000000000003,18,11.076536112109235
2.0,20.0,none,2787,0.32651596698959456,0.9693824202856989,-0.020625768402834643,-0.020625768402834643,-1.0,-57.484016538700146,-98.00000000000003,18,11.06350914962325
2.0,,bbma_basic,2286,0.32720909886264216,0.9668571288978555,-0.02243278487156732,-0.02243278487156732,-1.0,-51.281346216402895,-88.26532110488799,14,10.375328083989501
2.0,,bbma_strict,2286,0.32720909886264216,0.9668571288978555,-0.02243278487156732,-0.02243278487156732,-1.0,-51.281346216402895,-88.26532110488799,14,10.375328083989501
4.0,20.0,bbmid_ema50,1932,0.19513457556935818,0.9655702624218917,-0.027831976566540136,-0.027831976566540136,-1.0,-53.77137872655554,-140.27988252569708,27,23.25
2.0,,bbma_strict_expand,2265,0.32671081677704195,0.9646209957839461,-0.023965274267727547,-0.023965274267727547,-1.0,-54.281346216402895,-95.26532110488799,14,10.429139072847683
2.0,20.0,bbma_basic,1953,0.3241167434715822,0.9588483185858045,-0.027820769374703697,-0.027820769374703697,-1.0,-54.33396258879632,-82.00000000000003,16,10.689196108550947
2.0,20.0,bbma_strict,1953,0.3241167434715822,0.9588483185858045,-0.027820769374703697,-0.027820769374703697,-1.0,-54.33396258879632,-82.00000000000003,16,10.689196108550947
4.0,,bbmid_ema50,2292,0.1950261780104712,0.9582779603975938,-0.0339646334726628,-0.0339646334726628,-1.0,-77.84693991934313,-134.68086085792447,34,22.275305410122165
2.0,,bbmid_ema50,2511,0.3249701314217443,0.9575040684188058,-0.028845639253805913,-0.028845639253805913,-1.0,-72.43140016630664,-107.43140016630666,15,10.971326164874553
2.0,20.0,bbma_strict_expand,1934,0.32368148914167527,0.9569422149087008,-0.029128212300308334,-0.029128212300308334,-1.0,-56.33396258879632,-85.00000000000003,16,10.747156153050673
2.0,20.0,bbmid_ema50,2079,0.32275132275132273,0.9527974646797327,-0.03197884393395867,-0.03197884393395867,-1.0,-66.48401653870008,-106.00000000000003,14,11.322751322751323
1.0,25.0,bbmid_ema50,1621,0.48303516347933373,0.9342472854658919,-0.03399621674935274,-0.03399621674935274,-1.0,-55.10786735070079,-65.0,12,5.221468229487971
1.0,25.0,bbma_strict_expand,1536,0.482421875,0.9319826243253404,-0.03520781294533467,-0.03520781294533467,-1.0,-54.07920068403405,-62.07920068403401,12,4.793619791666667
1.0,25.0,bbma_basic,1551,0.48226950354609927,0.9314149829342865,-0.035512057178616406,-0.035512057178616406,-1.0,-55.07920068403405,-63.07920068403401,12,4.772404900064474
1.0,25.0,bbma_strict,1551,0.48226950354609927,0.9314149829342865,-0.035512057178616406,-0.035512057178616406,-1.0,-55.07920068403405,-63.07920068403401,12,4.772404900064474
1.0,25.0,none,2031,0.4795667159034958,0.9213818476642466,-0.0409196786561796,-0.0409196786561796,-1.0,-83.10786735070076,-92.10786735070069,11,5.098966026587887
1.0,,bbmid_ema50,2653,0.4794572182434979,0.9206726283913734,-0.04131118896028718,-0.04131118896028718,-1.0,-109.5985843116419,-127.59858431164179,9,4.9664530719939695
1.0,25.0,ema50,2030,0.4793103448275862,0.9204358704079177,-0.04143244697078855,-0.04143244697078855,-1.0,-84.10786735070076,-93.10786735070069,11,5.100492610837438
1.0,,bbma_strict_expand,2387,0.4780058651026393,0.9153116755421001,-0.044227028757844636,-0.044227028757844636,-1.0,-105.56991764497515,-124.56991764497504,10,4.571428571428571
1.0,,bbma_basic,2409,0.47779161477791615,0.914530042283023,-0.04465334896013912,-0.04465334896013912,-1.0,-107.56991764497515,-126.56991764497504,10,4.55832295558323
1.0,,bbma_strict,2409,0.47779161477791615,0.914530042283023,-0.04465334896013912,-0.04465334896013912,-1.0,-107.56991764497515,-126.56991764497504,10,4.55832295558323
1.0,,none,3900,0.4774358974358974,0.9133725561909619,-0.04528168828503626,-0.04528168828503626,-1.0,-176.59858431164142,-203.5985843116413,12,4.848974358974359
1.0,,ema50,3886,0.4770972722593927,0.9121328797086979,-0.04595949158817329,-0.04595949158817329,-1.0,-178.59858431164142,-207.5985843116413,12,4.856407617086979
1.0,20.0,ema50,2931,0.4725349709996588,0.8956502011865389,-0.05505378002574623,-0.05505378002574623,-1.0,-161.3626292554622,-175.36262925546208,12,5.051859433640396
