strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r
PEM,M5,short,2020-11-30 07:30:00+00:00,2020-11-30 09:30:00+00:00,1782.768,1780.945,1786.898,1774.5080000000003,25,timeout,0.44140435835354597
PEM,M5,short,2020-11-30 10:05:00+00:00,2020-11-30 12:05:00+00:00,1766.295,1767.868,1782.088,1734.7090000000003,25,timeout,-0.09960108909009537
PEM,M5,long,2020-11-30 14:55:00+00:00,2020-11-30 15:20:00+00:00,1782.548,1778.228,1778.228,1791.1879999999999,6,sl,-1.0
PEM,M5,short,2020-11-30 16:10:00+00:00,2020-11-30 17:55:00+00:00,1775.508,1766.108,1780.208,1766.108,22,tp,2.0
PEM,M5,short,2020-11-30 18:00:00+00:00,2020-11-30 18:30:00+00:00,1766.925,1772.195,1772.195,1756.385,7,sl,-1.0
PEM,M5,long,2020-12-01 00:05:00+00:00,2020-12-01 00:45:00+00:00,1782.695,1778.848,1778.848,1790.389,9,sl,-1.0
PEM,M5,long,2020-12-01 11:25:00+00:00,2020-12-01 12:00:00+00:00,1786.418,1784.115,1784.115,1791.0239999999997,8,sl,-1.0
PEM,M5,long,2020-12-02 00:20:00+00:00,2020-12-02 02:20:00+00:00,1813.565,1814.015,1807.348,1825.9990000000003,25,timeout,0.07238217789931452
PEM,M5,short,2020-12-02 06:45:00+00:00,2020-12-02 07:05:00+00:00,1811.168,1812.838,1812.838,1807.8279999999997,5,sl,-1.0
PEM,M5,short,2020-12-02 14:10:00+00:00,2020-12-02 14:35:00+00:00,1810.828,1813.785,1813.785,1804.9139999999998,6,sl,-1.0
PEM,M5,long,2020-12-02 15:40:00+00:00,2020-12-02 17:40:00+00:00,1822.328,1830.865,1811.885,1843.214,25,timeout,0.8174853969165995
PEM,M5,long,2020-12-02 23:15:00+00:00,2020-12-03 00:55:00+00:00,1827.468,1824.748,1824.748,1832.9080000000001,21,sl,-1.0
PEM,M5,long,2020-12-03 02:45:00+00:00,2020-12-03 03:40:00+00:00,1829.668,1827.695,1827.695,1833.6139999999998,12,sl,-1.0
PEM,M5,long,2020-12-03 04:35:00+00:00,2020-12-03 07:20:00+00:00,1830.698,1828.618,1828.618,1834.8580000000004,23,sl,-1.0
PEM,M5,long,2020-12-03 14:40:00+00:00,2020-12-03 16:40:00+00:00,1837.505,1836.048,1828.868,1854.7790000000005,25,timeout,-0.168692833159671
PEM,M5,long,2020-12-03 19:00:00+00:00,2020-12-03 20:35:00+00:00,1841.845,1836.215,1836.215,1853.1050000000002,20,sl,-1.0
PEM,M5,long,2020-12-04 04:05:00+00:00,2020-12-04 07:00:00+00:00,1841.788,1839.698,1838.578,1848.208,25,timeout,-0.6510903426790948
PEM,M5,long,2020-12-04 18:50:00+00:00,2020-12-04 20:35:00+00:00,1842.645,1838.538,1838.538,1850.859,22,sl,-1.0
PEM,M5,short,2020-12-04 22:10:00+00:00,2020-12-05 00:10:00+00:00,1839.285,1833.278,1846.044,1825.767,25,timeout,0.8887409380085883
PEM,M5,long,2020-12-05 04:35:00+00:00,2020-12-07 06:05:00+00:00,1838.658,1836.835,1836.835,1842.3039999999996,8,sl,-1.0
PEM,M5,long,2020-12-07 08:45:00+00:00,2020-12-07 10:45:00+00:00,1837.635,1837.628,1835.995,1840.9150000000002,25,timeout,-0.00426829268296428
PEM,M5,long,2020-12-07 11:15:00+00:00,2020-12-07 11:35:00+00:00,1838.775,1837.218,1837.218,1841.8890000000001,5,sl,-1.0
PEM,M5,long,2020-12-07 12:20:00+00:00,2020-12-07 12:50:00+00:00,1839.595,1841.329,1838.728,1841.329,7,tp,2.0
