strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r
VWAP_MR,M5,short,2020-12-01 10:00:00+00:00,2020-12-01 11:40:00+00:00,1783.272,1785.638,1792.1883599999996,1779.4558842278727,21,timeout,-0.2653549206178375
VWAP_MR,M5,short,2020-12-01 13:00:00+00:00,2020-12-01 14:40:00+00:00,1788.008,1788.825,1796.9480399999998,1782.394068509337,21,timeout,-0.09138661571984379
VWAP_MR,M5,short,2020-12-01 18:15:00+00:00,2020-12-01 19:55:00+00:00,1805.715,1808.035,1814.7435749999997,1793.1049257091486,21,timeout,-0.2569619236701484
VWAP_MR,M5,short,2020-12-02 14:45:00+00:00,2020-12-02 15:40:00+00:00,1814.978,1824.05289,1824.05289,1810.9909827766965,12,sl,-1.0
VWAP_MR,M5,short,2020-12-02 17:30:00+00:00,2020-12-02 19:10:00+00:00,1829.555,1822.908,1838.702775,1818.4878776888868,21,timeout,0.7266247803427858
VWAP_MR,M5,short,2020-12-03 10:15:00+00:00,2020-12-03 11:55:00+00:00,1831.635,1835.138,1840.7931749999998,1828.7868354737348,21,timeout,-0.38249978844038307
VWAP_MR,M5,short,2020-12-03 15:05:00+00:00,2020-12-03 16:35:00+00:00,1842.875,1835.0685505006834,1852.0893749999998,1835.0685505006834,19,tp,0.8472033642343394
VWAP_MR,M5,short,2020-12-04 10:00:00+00:00,2020-12-04 11:40:00+00:00,1843.615,1842.095,1852.8330749999998,1840.3202049547692,21,timeout,0.16489342948500849
VWAP_MR,M5,short,2020-12-04 18:50:00+00:00,2020-12-04 20:15:00+00:00,1842.645,1840.1939130074518,1851.8582249999997,1840.1939130074518,18,tp,0.2660400665942998
VWAP_MR,M5,short,2020-12-07 20:50:00+00:00,2020-12-07 21:50:00+00:00,1837.958,1847.14779,1847.14779,1831.1522069377559,13,sl,-1.0
VWAP_MR,M5,short,2020-12-08 09:55:00+00:00,2020-12-08 11:35:00+00:00,1868.878,1870.228,1878.2223899999997,1864.1542405472376,21,timeout,-0.1444717097638447
VWAP_MR,M5,short,2020-12-08 20:40:00+00:00,2020-12-08 22:05:00+00:00,1869.428,1864.1804128137455,1878.77514,1864.1804128137455,18,tp,0.5614109969739043
VWAP_MR,M5,long,2020-12-09 10:30:00+00:00,2020-12-09 12:10:00+00:00,1862.498,1861.018,1853.18551,1866.7899243735383,21,timeout,-0.1589263451558084
VWAP_MR,M5,long,2020-12-09 22:05:00+00:00,2020-12-09 23:45:00+00:00,1840.425,1845.575,1831.222875,1856.0492748488928,21,timeout,0.5596533409402804
VWAP_MR,M5,short,2020-12-10 20:40:00+00:00,2020-12-10 22:20:00+00:00,1842.408,1841.254,1851.6200399999998,1835.4416504969427,21,timeout,0.12527084120346962
VWAP_MR,M5,long,2020-12-11 12:55:00+00:00,2020-12-11 14:35:00+00:00,1834.428,1833.798,1825.2558600000002,1837.8141969768642,21,timeout,-0.06868626078539099
VWAP_MR,M5,short,2020-12-11 17:05:00+00:00,2020-12-11 17:30:00+00:00,1838.678,1834.7260846627714,1847.87139,1834.7260846627714,6,tp,0.4298648634756845
VWAP_MR,M5,short,2020-12-11 20:40:00+00:00,2020-12-11 22:20:00+00:00,1838.788,1846.145,1847.98194,1833.7336851442835,21,timeout,-0.8002010019643443
VWAP_MR,M5,short,2020-12-11 22:50:00+00:00,2020-12-12 00:30:00+00:00,1845.878,1842.545,1855.1073899999997,1837.133591121011,21,timeout,0.3611289586852382
VWAP_MR,M5,short,2020-12-14 21:15:00+00:00,2020-12-14 22:15:00+00:00,1832.415,1826.6030691546714,1841.5770749999997,1826.6030691546714,13,tp,0.6343465694538335
VWAP_MR,M5,short,2020-12-15 10:10:00+00:00,2020-12-15 11:50:00+00:00,1833.925,1834.658,1843.0946249999997,1829.564682952552,21,timeout,-0.07993783824310871
VWAP_MR,M5,short,2020-12-15 12:45:00+00:00,2020-12-15 14:25:00+00:00,1839.215,1841.995,1848.4110749999998,1832.255923441085,21,timeout,-0.30230288465459687
VWAP_MR,M5,short,2020-12-15 20:35:00+00:00,2020-12-15 22:15:00+00:00,1851.368,1852.798,1860.6248399999997,1845.8676393376932,21,timeout,-0.15448036262915824
VWAP_MR,M5,short,2020-12-16 09:35:00+00:00,2020-12-16 11:15:00+00:00,1856.185,1857.678,1865.4659249999997,1852.9317439912716,21,timeout,-0.16086758593569048
VWAP_MR,M5,long,2020-12-17 02:20:00+00:00,2020-12-17 02:45:00+00:00,1847.208,1854.464702714166,1837.97196,1854.464702714166,6,tp,0.7856941626677492
VWAP_MR,M5,short,2020-12-17 03:00:00+00:00,2020-12-17 04:40:00+00:00,1858.708,1864.045,1868.00154,1853.7133824342359,21,timeout,-0.5742698691779505
VWAP_MR,M5,short,2020-12-17 13:35:00+00:00,2020-12-17 15:15:00+00:00,1871.095,1874.885,1880.4504749999999,1866.5650746841352,21,timeout,-0.40511037654421905
