strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,hour,session,atr14,atr_pct_rank,vol_bucket,ema55_slope_norm,trend_bucket,close,ema55,vwap
PEM,M15,short,2020-11-30 20:00:00+00:00,2020-11-30 20:30:00+00:00,1768.805,1772.648,1772.648,1761.1190000000004,3,sl,-1.0,20,NY_Late,3.0194669432553316,0.7169811320754716,HighVol,-0.350668945691231,Strong,1769.318,1775.3624324906496,1774.504728382908
PEM,M15,long,2020-12-01 11:45:00+00:00,2020-12-01 14:45:00+00:00,1786.018,1789.115,1782.685,1792.6840000000002,13,timeout,0.9291929192918998,11,London,1.8776674915030254,0.0625,LowVol,0.6111200566359558,Strong,1786.128,1779.6093587335645,1780.134981711928
PEM,M15,long,2020-12-03 10:45:00+00:00,2020-12-03 13:45:00+00:00,1833.855,1831.935,1827.469,1846.627,13,timeout,-0.3006576886940311,10,London,2.227970467637285,0.53125,MidVol,0.4222498488685684,Strong,1835.535,1827.2785361666095,1828.958072227941
PEM,M15,long,2020-12-04 01:15:00+00:00,2020-12-04 04:15:00+00:00,1837.718,1840.688,1829.468,1854.218,13,timeout,0.3600000000000033,1,Asia,3.4536278640006786,0.8541666666666666,HighVol,0.08552024491562361,Flat,1838.544,1835.1055774979911,1835.2469975522993
PEM,M15,long,2020-12-07 13:00:00+00:00,2020-12-07 15:30:00+00:00,1841.325,1834.505,1834.505,1854.965,11,sl,-1.0,13,NY_Overlap,1.7543686345676834,0.052083333333333336,LowVol,0.2697473720566758,Strong,1841.928,1838.0890794335933,1837.7729588609018
PEM,M15,long,2020-12-07 21:15:00+00:00,2020-12-07 22:00:00+00:00,1838.948,1858.5140000000004,1829.165,1858.5140000000004,4,tp,2.0,21,NY_Late,2.843089397519393,0.6666666666666666,HighVol,0.13106921872294316,Moderate,1838.935,1835.044892700879,1834.5497646392448
PEM,M15,short,2020-12-08 18:30:00+00:00,2020-12-08 20:00:00+00:00,1861.738,1865.038,1865.038,1855.1380000000001,7,sl,-1.0,18,NY_Late,2.317148967411476,0.4583333333333333,MidVol,-0.06845243278431697,Flat,1860.958,1863.3681238978807,1864.4491889909846
PEM,M15,short,2020-12-09 08:15:00+00:00,2020-12-09 10:45:00+00:00,1867.188,1859.7480000000005,1870.908,1859.7480000000005,11,tp,2.0,8,London,1.5437727380470228,0.07291666666666667,LowVol,-0.039600660232849895,Flat,1867.335,1868.5477404058413,1870.2566808635404
PEM,M15,short,2020-12-09 11:00:00+00:00,2020-12-09 14:00:00+00:00,1860.755,1860.635,1866.358,1849.5490000000004,13,timeout,0.021417097983244995,11,London,1.7828882888618276,0.23958333333333334,LowVol,-0.5199429028871771,Strong,1860.678,1867.3483904859502,1867.783655282053
PEM,M15,short,2020-12-10 00:30:00+00:00,2020-12-10 03:30:00+00:00,1841.285,1833.315,1858.125,1807.6050000000002,13,timeout,0.47327790973872125,0,Asia,4.086360290425298,0.8958333333333334,HighVol,-0.5453549069595147,Strong,1841.025,1855.1333386206356,1842.1695602105299
PEM,M15,short,2020-12-11 01:15:00+00:00,2020-12-11 04:15:00+00:00,1830.357,1834.758,1843.378,1804.315,13,timeout,-0.33799247369634294,1,Asia,3.64634655679384,0.7604166666666666,HighVol,-0.22030781589408596,Moderate,1834.255,1837.8838634563513,1834.0053175565256
PEM,M15,long,2020-12-11 17:00:00+00:00,2020-12-11 18:00:00+00:00,1836.565,1831.743,1831.743,1846.2090000000003,5,sl,-1.0,17,NY_Late,2.287585840747101,0.5,MidVol,-0.0411498175056973,Flat,1838.618,1836.0883061195111,1835.4215659930192
PEM,M15,long,2020-12-14 21:30:00+00:00,2020-12-14 23:45:00+00:00,1832.535,1823.345,1823.345,1850.9150000000002,10,sl,-1.0,21,NY_Late,3.3645683356854508,0.8958333333333334,HighVol,-0.03555108372700906,Flat,1834.788,1830.8414884491028,1830.4108490426627
PEM,M15,long,2020-12-15 11:30:00+00:00,2020-12-15 14:15:00+00:00,1834.568,1841.5939999999998,1831.055,1841.5939999999998,12,tp,2.0,11,London,1.7347635368171517,0.19791666666666666,LowVol,0.4858452738676757,Strong,1834.865,1829.7259926053878,1828.504511802423
PEM,M15,long,2020-12-16 01:45:00+00:00,2020-12-16 04:45:00+00:00,1852.458,1853.718,1847.518,1862.3380000000002,13,timeout,0.25506072874493463,1,Asia,2.62083736134366,0.71875,HighVol,0.4756819093715436,Strong,1853.318,1845.419912095186,1850.3792884420209
