strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,session,hour,atr_pct_rank
PEM_M15_V2,M15,short,2020-11-30 20:00:00+00:00,2020-11-30 20:30:00+00:00,1768.805,1772.648,1772.648,1761.1190000000004,3,sl,-1.0,NY_Late,19,0.5384615384615384
PEM_M15_V2,M15,long,2020-12-04 01:15:00+00:00,2020-12-04 04:15:00+00:00,1837.718,1840.688,1829.468,1854.218,13,timeout,0.3600000000000033,Asia,1,0.8645833333333334
PEM_M15_V2,M15,long,2020-12-07 21:15:00+00:00,2020-12-07 22:00:00+00:00,1838.948,1858.5140000000004,1829.165,1858.5140000000004,4,tp,2.0,NY_Late,21,0.71875
PEM_M15_V2,M15,short,2020-12-08 18:30:00+00:00,2020-12-08 20:00:00+00:00,1861.738,1865.038,1865.038,1855.1380000000001,7,sl,-1.0,NY_Late,18,0.46875
PEM_M15_V2,M15,short,2020-12-10 00:30:00+00:00,2020-12-10 03:30:00+00:00,1841.285,1833.315,1858.125,1807.6050000000002,13,timeout,0.47327790973872125,Asia,0,0.90625
PEM_M15_V2,M15,short,2020-12-11 01:15:00+00:00,2020-12-11 04:15:00+00:00,1830.357,1834.758,1843.378,1804.315,13,timeout,-0.33799247369634294,Asia,1,0.7291666666666666
PEM_M15_V2,M15,long,2020-12-14 21:30:00+00:00,2020-12-14 23:45:00+00:00,1832.535,1823.345,1823.345,1850.9150000000002,10,sl,-1.0,NY_Late,21,0.8958333333333334
PEM_M15_V2,M15,long,2020-12-16 01:45:00+00:00,2020-12-16 04:45:00+00:00,1852.458,1853.718,1847.518,1862.3380000000002,13,timeout,0.25506072874493463,Asia,1,0.7291666666666666
PEM_M15_V2,M15,short,2020-12-17 00:00:00+00:00,2020-12-17 02:30:00+00:00,1854.235,1845.3089999999995,1858.698,1845.3089999999995,11,tp,2.0,NY_Late,23,0.9166666666666666
PEM_M15_V2,M15,long,2020-12-17 20:15:00+00:00,2020-12-17 23:15:00+00:00,1883.308,1888.508,1873.798,1902.328,13,timeout,0.5467928496319716,NY_Late,20,0.6354166666666666
PEM_M15_V2,M15,short,2020-12-19 03:15:00+00:00,2020-12-21 06:30:00+00:00,1879.305,1884.758,1884.758,1868.3990000000001,11,sl,-1.0,Asia,3,0.5625
PEM_M15_V2,M15,short,2020-12-23 02:15:00+00:00,2020-12-23 06:00:00+00:00,1861.855,1860.038,1867.9,1849.7649999999999,13,timeout,0.30057899090156914,Asia,2,0.7083333333333334
PEM_M15_V2,M15,short,2020-12-23 19:30:00+00:00,2020-12-23 20:45:00+00:00,1859.045,1868.865,1868.865,1839.4050000000002,6,sl,-1.0,NY_Late,19,0.7083333333333334
PEM_M15_V2,M15,short,2020-12-24 21:45:00+00:00,2020-12-24 22:00:00+00:00,1871.925,1877.005,1877.005,1861.7649999999996,2,sl,-1.0,NY_Late,21,0.75
PEM_M15_V2,M15,long,2020-12-28 06:30:00+00:00,2020-12-28 09:30:00+00:00,1886.135,1897.508,1876.418,1905.5690000000002,13,timeout,1.1704229700524784,Asia,6,0.875
PEM_M15_V2,M15,long,2020-12-28 21:15:00+00:00,2020-12-29 00:15:00+00:00,1887.848,1877.108,1875.295,1912.9539999999997,13,timeout,-0.855572373137904,NY_Late,21,1.0
PEM_M15_V2,M15,short,2020-12-29 03:45:00+00:00,2020-12-29 07:15:00+00:00,1873.505,1877.708,1877.708,1865.0990000000002,12,sl,-1.0,Asia,3,0.53125
PEM_M15_V2,M15,short,2020-12-29 18:00:00+00:00,2020-12-29 21:00:00+00:00,1876.558,1879.205,1882.925,1863.824,13,timeout,-0.41573739594784836,NY_Late,17,0.5416666666666666
PEM_M15_V2,M15,long,2020-12-31 01:15:00+00:00,2020-12-31 04:15:00+00:00,1889.188,1891.958,1884.375,1898.8140000000003,13,timeout,0.5755246208186003,Asia,1,0.71875
PEM_M15_V2,M15,long,2020-12-31 20:45:00+00:00,2020-12-31 23:45:00+00:00,1896.684,1894.798,1888.595,1912.8619999999999,13,timeout,-0.23315613796513548,NY_Late,20,0.3020833333333333
PEM_M15_V2,M15,short,2021-01-01 01:45:00+00:00,2021-01-01 02:45:00+00:00,1891.845,1896.014,1896.014,1883.5070000000003,5,sl,-1.0,Asia,1,0.9166666666666666
PEM_M15_V2,M15,long,2021-01-06 00:15:00+00:00,2021-01-06 03:15:00+00:00,1951.098,1950.795,1945.665,1961.964,13,timeout,-0.05577029265596981,Asia,0,0.8020833333333334
PEM_M15_V2,M15,long,2021-01-06 06:45:00+00:00,2021-01-06 08:30:00+00:00,1951.385,1947.615,1947.615,1958.925,8,sl,-1.0,Asia,6,0.09375
