signal_ts,entry_ts,family,side,entry,stop,tp,risk,timeout_bars,session,exit_ts,exit_price,exit_reason,holding_bars,r_mult,split,year
2020-11-30 11:15:00+00:00,2020-11-30 11:30:00+00:00,rejection,short,1770.745,1773.084,1766.0669999999996,2.339000000000169,12,london,2020-11-30 12:15:00+00:00,1766.0669999999996,tp,3,2.0,train,2020
2020-11-30 12:15:00+00:00,2020-11-30 12:30:00+00:00,compression_expansion,short,1765.318,1772.248,1751.4579999999999,6.930000000000064,12,london,2020-11-30 13:30:00+00:00,1772.248,sl,4,-1.0,train,2020
2020-12-02 07:00:00+00:00,2020-12-02 07:15:00+00:00,sweep_reclaim,long,1811.895,1811.034,1813.6169999999997,0.8609999999998763,12,london,2020-12-02 07:45:00+00:00,1813.6169999999997,tp,2,2.0,train,2020
2020-12-02 07:45:00+00:00,2020-12-02 08:00:00+00:00,rejection,long,1813.238,1811.895,1815.9240000000002,1.3430000000000746,12,london,2020-12-02 08:00:00+00:00,1811.895,sl,0,-1.0,train,2020
2020-12-02 08:30:00+00:00,2020-12-02 08:45:00+00:00,rejection,long,1812.618,1811.448,1814.9579999999996,1.1699999999998454,12,london,2020-12-02 08:45:00+00:00,1814.9579999999996,tp,0,2.0,train,2020
2020-12-02 10:45:00+00:00,2020-12-02 11:00:00+00:00,rejection,long,1810.148,1808.785,1812.8739999999996,1.362999999999829,12,london,2020-12-02 12:15:00+00:00,1808.785,sl,5,-1.0,train,2020
2020-12-02 12:30:00+00:00,2020-12-02 12:45:00+00:00,rejection,long,1809.425,1807.784,1812.7069999999997,1.640999999999849,12,london,2020-12-02 12:45:00+00:00,1807.784,sl,0,-1.0,train,2020
2020-12-02 12:45:00+00:00,2020-12-02 13:00:00+00:00,sweep_reclaim,long,1810.165,1807.784,1814.9269999999997,2.380999999999858,12,london,2020-12-02 14:45:00+00:00,1814.9269999999997,tp,7,2.0,train,2020
2020-12-03 07:30:00+00:00,2020-12-03 07:45:00+00:00,rejection,long,1828.965,1828.915,1829.0649999999998,0.049999999999954525,12,london,2020-12-03 07:45:00+00:00,1828.915,sl,0,-1.0,train,2020
2020-12-03 08:15:00+00:00,2020-12-03 08:30:00+00:00,sweep_reclaim,long,1829.708,1827.328,1834.4680000000003,2.380000000000109,12,london,2020-12-03 08:30:00+00:00,1827.328,sl,0,-1.0,train,2020
2020-12-03 08:45:00+00:00,2020-12-03 09:00:00+00:00,rejection,long,1827.655,1827.158,1828.6490000000001,0.49700000000007094,12,london,2020-12-03 09:00:00+00:00,1827.158,sl,0,-1.0,train,2020
2020-12-03 11:00:00+00:00,2020-12-03 11:15:00+00:00,rejection,long,1835.685,1831.31,1844.435,4.375,12,london,2020-12-03 13:45:00+00:00,1831.31,sl,10,-1.0,train,2020
