total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,families,sessions,exclude_near_gap,tp_r_multiple,timeout_bars,swing_lookback,rolling_level_n,spread_points,slippage_points,entry_delay_bars,atr_floor_mult,atr_cap_mult
8832,0.37013134057971014,1.101108738041922,0.05903710362832723,0.05903710362832723,-1.0,521.4156992453861,-93.72478004236126,21,3.8002717391304346,grid::tp2.5_to8_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,8,2,20,0.0,0.0,0,,
8105,0.3552128315854411,1.1010399466642373,0.06157640711931597,0.06157640711931597,-1.0,499.07677970205594,-105.01126097227085,18,4.679950647748304,grid::tp2.5_to12_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,12,2,20,0.0,0.0,0,,
7231,0.34089337574332734,1.09720681917489,0.0621741943936638,0.0621741943936638,-1.0,449.5815996605829,-96.82845466687775,20,6.022956714147421,grid::tp2.5_to20_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,20,2,20,0.0,0.0,0,,
7616,0.34571953781512604,1.092733188759611,0.05824463142834695,0.05824463142834695,-1.0,443.5911129582904,-99.53623525238609,20,5.3935136554621845,grid::tp2.5_to16_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,16,2,20,0.0,0.0,0,,
8497,0.3804872307873367,1.0765442988208946,0.04488602887973676,0.04488602887973676,-1.0,381.3965873911232,-75.92123188998373,18,4.226785924443921,grid::tp2.0_to12_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,12,2,20,0.0,0.0,0,,
5624,0.3744665718349929,1.0710476033388325,0.04062518599861327,0.04062518599861327,-1.0,228.47604605620103,-50.26959203766781,17,9.598684210526315,grid::tp2.5_to20_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,20,5,20,0.0,0.0,0,,
8263,0.38714752511194483,1.0708711520532357,0.038497176355114404,0.038497176355114404,-1.0,318.1021682223103,-79.98605522154173,17,4.465811448626407,grid::tp2.5_to8_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,8,3,20,0.0,0.0,0,,
8499,0.40698905753618075,1.0692180582849578,0.036310738038500795,0.036310738038500795,-0.6612529002320058,308.60496258921825,-77.29007396130517,14,4.196493705141782,grid::tp2.0_to8_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,8,3,20,0.0,0.0,0,,
6379,0.35271986204734285,1.0673728575513488,0.041482575428137984,0.041482575428137984,-1.0,264.6173486560922,-81.96489019033649,19,7.6435177927574856,grid::tp2.5_to20_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,20,3,20,0.0,0.0,0,,
7770,0.40707850707850707,1.067253315879211,0.032899303721484835,0.032899303721484835,-0.3686635944700305,255.62758991593716,-68.07826999426887,17,5.147104247104247,grid::tp2.5_to8_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,8,5,20,0.0,0.0,0,,
7975,0.3979937304075235,1.0664946977678706,0.03412437559499613,0.03412437559499613,-0.505359877488527,272.1418953700941,-65.3157412810011,18,4.8682131661442005,grid::tp2.5_to8_sw4,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,8,4,20,0.0,0.0,0,,
9147,0.3897452716737728,1.0655190914918136,0.03708583101678669,0.03708583101678669,-1.0,339.22409631054785,-88.49862414994189,18,3.493932436864546,grid::tp2.0_to8_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,8,2,20,0.0,0.0,0,,
7712,0.36877593360995853,1.0621080323903918,0.038027691856999515,0.038027691856999515,-1.0,293.2695596011803,-64.6208612416487,18,5.309258298755187,grid::tp2.0_to20_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,20,2,20,0.0,0.0,0,,
6794,0.3919634972034148,1.0608338640797847,0.03211656363633315,0.03211656363633315,-0.6764382929851978,218.19993334524742,-70.93388912314406,18,6.765675596114218,grid::tp2.5_to12_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,12,5,20,0.0,0.0,0,,
8031,0.3731789316398954,1.060078643069494,0.03622081621052241,0.03622081621052241,-1.0,290.88937498670543,-68.85965465618744,18,4.826671647366455,grid::tp2.0_to16_sw2,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,16,2,20,0.0,0.0,0,,
6139,0.37970353477765106,1.0592038789673477,0.03275433316308631,0.03275433316308631,-1.0,201.07885128818688,-78.0657215375239,16,8.23945267958951,grid::tp2.5_to16_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,16,5,20,0.0,0.0,0,,
7936,0.4225050403225806,1.0581846385223612,0.0276468337044976,0.0276468337044976,-0.30422141518417894,219.40527227889294,-81.2436827674201,17,4.930821572580645,grid::tp2.0_to8_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,8,5,20,0.0,0.0,0,,
7422,0.36863379143088115,1.0579607229708932,0.033629784993131684,0.033629784993131684,-1.0,249.60026421902336,-105.08788402098915,23,5.661816222042576,grid::tp2.5_to12_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,12,3,20,0.0,0.0,0,,
6849,0.35727843480800114,1.0558780804057424,0.033661490068420306,0.033661490068420306,-1.0,230.5475454786107,-84.22027462471324,16,6.6936779091838225,grid::tp2.5_to16_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,16,3,20,0.0,0.0,0,,
5942,0.36250420733759675,1.0552877881078222,0.032892524000100745,0.032892524000100745,-1.0,195.44737760859863,-76.82892077796976,18,8.722315718613261,grid::tp2.5_to20_sw4,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,20,4,20,0.0,0.0,0,,
8150,0.4136196319018405,1.0542441368570732,0.026980346959329368,0.026980346959329368,-0.40907162467383695,219.88982771853435,-79.84667510136069,15,4.643067484662577,grid::tp2.0_to8_sw4,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,8,4,20,0.0,0.0,0,,
7714,0.39266269121078556,1.0542068948411762,0.03013303937357952,0.03013303937357952,-1.0,232.4462657277924,-102.0480731869916,17,5.256805807622505,grid::tp2.0_to12_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,12,3,20,0.0,0.0,0,,
6725,0.37992565055762084,1.0519188703203366,0.030619432366419747,0.030619432366419747,-1.0,205.9156826641728,-86.8442469252295,16,6.975910780669145,grid::tp2.0_to20_sw3,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,20,3,20,0.0,0.0,0,,
7042,0.3797216699801193,1.051266429137412,0.02829533748843989,0.02829533748843989,-1.0,199.2557665935937,-71.81743831655437,19,6.312269241692701,grid::tp2.5_to12_sw4,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.5,12,4,20,0.0,0.0,0,,
5843,0.3956871470135205,1.0507250576803748,0.027884787259123814,0.027884787259123814,-1.0,162.93081195506045,-68.15700286148004,16,9.063323635118946,grid::tp2.0_to20_sw5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,20,5,20,0.0,0.0,0,,
