rr_multiple,adx_threshold,trend_filter_mode,total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars
3.0,25.0,bbmid_ema50,1506,0.2689243027888446,1.1034341285048912,0.07562558608851211,0.07562558608851211,-1.0,113.89213264929924,-49.0,16,18.59628154050465
3.0,25.0,bbma_basic,1449,0.2663906142167012,1.0892885490139301,0.06550779800963837,0.06550779800963837,-1.0,94.920799315966,-46.0,14,17.6632160110421
3.0,25.0,bbma_strict,1449,0.2663906142167012,1.0892885490139301,0.06550779800963837,0.06550779800963837,-1.0,94.920799315966,-46.0,14,17.6632160110421
3.0,25.0,none,1872,0.266025641025641,1.0872508887387804,0.0640449426545401,0.0640449426545401,-1.0,119.89213264929907,-65.0,19,17.870726495726494
3.0,25.0,bbma_strict_expand,1436,0.266016713091922,1.0872048317207235,0.06401169868799861,0.06401169868799861,-1.0,91.920799315966,-45.0,14,17.74025069637883
3.0,25.0,ema50,1871,0.2656333511491181,1.0850676540224375,0.062475752351308964,0.062475752351308964,-1.0,116.89213264929907,-65.0,19,17.879208979155532
4.0,25.0,bbma_strict_expand,1383,0.20896601590744757,1.056596267689992,0.04477281223135659,0.04477281223135659,-1.0,61.920799315966164,-61.0,23,25.032537960954446
4.0,25.0,bbmid_ema50,1446,0.2095435684647303,1.0544744366123056,0.04330031128879818,0.04330031128879818,-1.0,62.612250123602166,-79.27988252569708,23,25.76625172890733
4.0,25.0,bbma_basic,1396,0.20845272206303725,1.0533181687606596,0.04220687630083536,0.04220687630083536,-1.0,58.920799315966164,-62.0,23,24.903295128939828
4.0,25.0,bbma_strict,1396,0.20845272206303725,1.0533181687606596,0.04220687630083536,0.04220687630083536,-1.0,58.920799315966164,-62.0,23,24.903295128939828
